behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
1.0,,,,,,,19.57,,instrumented,6.0,23.64,4,False,,,,,,,20260416_143405,25.39,json_decoder,2026-04-16 06:34:15.783000+00:00,4,code_execution
78.0,,,,,,,45.65,,instrumented,34.0,47.94,196,False,,,,,,,20260409_123226,48.92,json_decoder,2026-04-09 04:38:44.976000+00:00,196,code_execution
52.0,,,,,,,46.38,,instrumented,29.0,44.9,90,False,,,,,,,20260414_212124,44.27,json_decoder,2026-04-14 13:24:04.260000+00:00,90,code_execution
48.0,,,,,,,48.55,,instrumented,35.0,46.42,132,False,,,,,,,20260409_133542,45.51,json_decoder,2026-04-09 05:42:00.266000+00:00,132,code_execution
77.0,,,,,,,50.72,,instrumented,39.0,50.33,202,False,,,,,,,20260409_133542,50.15,json_decoder,2026-04-09 05:44:03.355000+00:00,202,code_execution
84.0,,,,,,,53.62,,instrumented,36.0,52.06,263,False,,,,,,,20260409_130402,51.39,json_decoder,2026-04-09 05:08:01.300000+00:00,263,code_execution
12.0,,,,,,,37.68,,instrumented,16.0,39.05,22,False,,,,,,,20260413_211859,39.63,json_decoder,2026-04-13 13:19:50.355000+00:00,22,code_execution
50.0,,,,,,,46.38,,instrumented,29.0,44.9,84,False,,,,,,,20260414_212124,44.27,json_decoder,2026-04-14 13:23:54.661000+00:00,84,code_execution
10.0,,,,,,,35.51,,instrumented,15.0,37.53,21,True,,,,,,,20260409_151209,38.39,json_decoder,2026-04-09 07:15:09.258000+00:00,21,code_execution
120.0,,,,,,,120.0,,proxy,42.0,120.0,357,False,,,,,,,20260409_151209,120.0,json_decoder,2026-04-09 07:23:23.149000+00:00,357,code_execution
38.0,,,,,,,38.0,,proxy,0.0,38.0,56,True,,,,,,,20260409_140933,38.0,ipv6_parser,2026-04-09 06:27:42.485000+00:00,56,code_execution
56.0,,,,,,,46.38,,instrumented,25.0,46.85,247,False,,,,,,,20260418_183800,47.06,json_decoder,2026-04-18 10:42:28.931000+00:00,247,code_execution
20.0,,,,,,,38.41,,instrumented,194.0,38.83,88,False,,,,,,,20260414_160159,39.01,json_decoder,2026-04-14 08:03:45.902000+00:00,88,code_execution
28.0,,,,,,,44.93,,instrumented,27.0,45.55,41,False,,,,,,,20260414_160232,45.82,json_decoder,2026-04-14 08:04:22.927000+00:00,41,code_execution
55.0,,,,,,,46.38,,proxy,25.0,47.06,246,False,,,,,,,20260418_183800,47.06,json_decoder,2026-04-18 10:42:27.826000+00:00,246,code_execution
10.0,,,,,,,10.0,,proxy,0.0,10.0,11,False,,,,,,,20260409_141821,10.0,cidrize,2026-04-09 06:21:55.800000+00:00,11,code_execution
9.0,,,,,,,42.03,,whitebox_target,191.0,44.47,31,False,,,,,,,20260416_220310,45.51,json_decoder,2026-04-16 14:04:55.461000+00:00,31,code_execution
3.0,,,,,,,23.91,,instrumented,4.0,26.9,6,False,,,,,,,20260409_133542,28.17,json_decoder,2026-04-09 05:38:17.403000+00:00,6,code_execution
6.0,,,,,,,30.43,,proxy,8.0,30.96,19,False,,,,,,,20260418_183800,30.96,json_decoder,2026-04-18 10:38:32.943000+00:00,19,code_execution
4.0,,,,,,,24.64,,instrumented,6.0,27.77,9,False,,,,,,,20260409_151209,29.1,json_decoder,2026-04-09 07:14:51.303000+00:00,9,code_execution
11.0,,,,,,,32.61,,instrumented,15.0,34.27,17,False,,,,,,,20260409_012300,34.98,json_decoder,2026-04-08 17:23:34.047000+00:00,17,code_execution
67.0,,,,,,,45.65,,instrumented,33.0,47.29,170,False,,,,,,,20260409_123226,47.99,json_decoder,2026-04-09 04:38:01.014000+00:00,170,code_execution
120.0,,,,,,,50.0,,instrumented,42.0,50.11,360,False,,,,,,,20260409_151209,50.15,json_decoder,2026-04-09 07:23:26.869000+00:00,360,code_execution
9.0,,,,,,,44.93,,whitebox_target,186.0,43.6,65,False,,,,,,,20260416_183234,43.03,json_decoder,2026-04-16 10:34:05.033000+00:00,65,code_execution
9.0,,,,,,,32.61,,instrumented,172.0,34.92,23,False,,,,,,,20260414_155026,35.91,json_decoder,2026-04-14 07:51:58.150000+00:00,23,code_execution
88.0,,,,,,,45.65,,instrumented,34.0,47.94,225,False,,,,,,,20260409_123226,48.92,json_decoder,2026-04-09 04:39:36.224000+00:00,225,code_execution
74.0,,,,,,,53.62,,instrumented,36.0,52.06,234,False,,,,,,,20260409_130402,51.39,json_decoder,2026-04-09 05:07:43.028000+00:00,234,code_execution
107.0,,,,,,,52.17,,instrumented,43.0,51.41,318,False,,,,,,,20260409_133542,51.08,json_decoder,2026-04-09 05:47:07.898000+00:00,318,code_execution
42.0,,,,,,,42.75,,instrumented,26.0,45.12,103,False,,,,,,,20260409_012300,46.13,json_decoder,2026-04-08 17:24:55.670000+00:00,103,code_execution
14.0,,,,,,,36.23,,instrumented,188.0,37.31,63,False,,,,,,,20260414_160159,37.77,json_decoder,2026-04-14 08:03:21.434000+00:00,63,code_execution
242.0,,,,,,,53.62,,instrumented,47.0,52.71,891,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 06:03:00.989000+00:00,891,code_execution
30.0,,,,,,,27.54,,whitebox_target,155.0,29.72,217,False,,,,,,,20260417_194452,30.65,json_decoder,2026-04-17 11:46:09.271000+00:00,217,code_execution
15.0,,,,,,,34.06,,instrumented,15.0,33.62,60,False,,,,,,,20260418_183800,33.44,json_decoder,2026-04-18 10:39:19.591000+00:00,60,code_execution
199.0,,,,,,,53.62,,instrumented,47.0,52.71,670,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:57:05.697000+00:00,670,code_execution
118.0,,,,,,,54.35,,instrumented,38.0,52.49,431,False,,,,,,,20260409_130402,51.7,json_decoder,2026-04-09 05:09:48.165000+00:00,431,code_execution
12.0,,,,,,,26.81,,instrumented,11.0,29.5,29,False,,,,,,,20260414_131255,30.65,json_decoder,2026-04-14 05:13:50.605000+00:00,29,code_execution
7.0,,,,,,,44.93,,whitebox_target,186.0,43.6,57,False,,,,,,,20260416_183234,43.03,json_decoder,2026-04-16 10:33:57.915000+00:00,57,code_execution
5.0,,,,,,,5.0,,proxy,2.0,5.0,8,False,,,,,,,20260409_014521,5.0,json_decoder,2026-04-08 17:45:49.686000+00:00,8,code_execution
10.0,,,,,,,26.81,,whitebox_target,140.0,29.28,27,False,,,,,,,20260417_181236,30.34,json_decoder,2026-04-17 10:13:35.825000+00:00,27,code_execution
29.0,,,,,,,24.29,,instrumented,0.0,37.97,40,False,,,,,,,20260409_120201,42.86,cidrize,2026-04-09 04:09:51.602000+00:00,40,code_execution
34.0,,,,,,,43.48,,instrumented,29.0,43.17,96,False,,,,,,,20260409_133542,43.03,json_decoder,2026-04-09 05:40:57.999000+00:00,96,code_execution
